uaf_sector;uaf_ruts_total;uaf_ruts_match_sii_pj;uaf_match_rate_sii_pj;sii_acteco;sii_glosa;support_uaf_sector;coverage_sector;coverage_wilson_low;uaf_code_purity;lift_vs_uaf;sii_ruts_with_code;uaf_registered_any_with_code;registered_rate_any_uaf;registered_rate_target_sector;universe_sii_not_uaf_with_code;manual_sector_prior;manual_sector_similarity;manual_code_prior;empirical_role;confidence;false_positive_risk;empirical_score;rank_sector
Administradoras generales de fondos;57;56;0.982456;643000;FONDOS Y SOCIEDADES DE INVERSION Y ENTIDADES FINANCIERAS SIMILARES;19;0.339286;0.229198;0.02043;2.6351;104494;930;0.0089;0.000182;103564;Administradoras Generales de Fondos;1.0;NO;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;ALTO;21.39;10
Administradores de Fondos de Pensiones (AFP);7;7;1.0;663010;ADMINISTRADORAS DE FONDOS DE PENSIONES (AFP);7;1.0;0.645661;0.875;902.875;10;8;0.8;0.7;2;Administradoras de Fondos de Pensiones;0.7763;SI;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;BAJO;82.18;1
Agentes de valores;8;8;1.0;661203;AGENTES DE VALORES;7;0.875;0.529105;0.4375;395.0078;54;16;0.296296;0.12963;38;Agentes de Valores;1.0;SI;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;BAJO;70.37;1
Agentes de valores;8;8;1.0;731001;SERVICIOS DE PUBLICIDAD PRESTADOS POR EMPRESAS;2;0.25;0.071478;0.025641;23.1506;41620;78;0.001874;4.8e-05;41542;Agentes de Valores;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;23.6;3
Agentes de valores;8;8;1.0;829900;OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.;2;0.25;0.071478;0.003922;3.5407;91110;510;0.005598;2.2e-05;90600;Agentes de Valores;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;ALTO;15.9;5
Armas: Personas que se Dediquen a la Venta de Armas;5;5;1.0;477392;VENTA AL POR MENOR DE ARMAS Y MUNICIONES EN COMERCIOS ESPECIALIZADOS;4;0.8;0.375528;0.666667;963.0667;80;6;0.075;0.05;74;Armas: Personas que se Dediquen a la Venta de Armas;1.0;SI;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;MEDIO;66.9;1
Armas: Personas que se Dediquen a la Venta de Armas;5;5;1.0;476301;VENTA AL POR MENOR DE ARTICULOS DE CAZA Y PESCA EN COMERCIOS ESPECIALIZADOS;3;0.6;0.23072;0.272727;393.9818;1338;11;0.008221;0.002242;1327;Armas: Personas que se Dediquen a la Venta de Armas;1.0;NO;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;ALTO;34.47;3
Armas: Personas que se Dediquen a la Venta de Armas;5;5;1.0;469000;VENTA AL POR MAYOR NO ESPECIALIZADA;2;0.4;0.117618;0.001503;2.1707;36831;1331;0.036138;5.4e-05;35500;Armas: Personas que se Dediquen a la Venta de Armas;1.0;NO;GATILLANTE_EMPIRICO_MEDIO;MEDIA_ALTA;MEDIO;14.94;9
Bancos;18;18;1.0;641910;ACTIVIDADES BANCARIAS;18;1.0;0.824115;0.857143;343.9524;59;21;0.355932;0.305085;38;Bancos;1.0;SI;GATILLANTE_EMPIRICO_ALTO;ALTA;BAJO;89.94;1
Bancos;18;18;1.0;641990;OTROS TIPOS DE INTERMEDIACION MONETARIA N.C.P.;3;0.166667;0.058365;0.015464;6.2053;1146;194;0.169284;0.002618;952;Bancos;1.0;NO;ACTIVIDAD_COMPLEMENTARIA;MEDIA_BAJA;MEDIO;19.33;3
Bolsas de productos;1;1;1.0;941100;ACTIVIDADES DE ASOCIACIONES EMPRESARIALES Y DE EMPLEADORES;1;1.0;0.206543;0.2;1444.6;2092;5;0.00239;0.000478;2087;Bolsas de Productos;1.0;NO;EVIDENCIA_LIMITADA_POR_MUESTRA;BAJA_MUESTRA;ALTO;32.29;1
Bolsas de productos;1;1;1.0;661909;OTRAS ACTIVIDADES AUXILIARES DE LAS ACTIVIDADES DE SERVICIOS FINANCIEROS N.C.P.;1;1.0;0.206543;0.003831;27.6743;3592;261;0.072661;0.000278;3331;Bolsas de Productos;1.0;NO;EVIDENCIA_LIMITADA_POR_MUESTRA;BAJA_MUESTRA;MEDIO;29.35;2
Bolsas de valores;2;2;1.0;661100;ADMINISTRACION DE MERCADOS FINANCIEROS;2;1.0;0.342372;0.090909;328.3182;362;22;0.060773;0.005525;340;Bolsas de Valores;1.0;SI;GATILLANTE_NORMATIVO_CON_RESPALDO;MEDIA;MEDIO;56.77;1
